,Symbol,Scientific Name,Common Name
0,ABGR4,Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora],glossy abelia
1,ABES,Abelmoschus esculentus (L.) Moench,okra
2,HIES,Hibiscus esculentus L.,N/A
3,ABMO,Abelmoschus moschatus Medik.,musk okra
4,HIAB,Hibiscus abelmoschus L.,N/A
5,ABIES,Abies,fir
6,ABAL3,Abies alba Mill.,silver fir
7,ABAM,Abies amabilis (Douglas ex Louden) Douglas ex Forbes,Pacific silver fir
8,ABBA,Abies balsamea (L.) Mill.,balsam fir
9,ABBR,Abies bracteata (D. Don) D. Don ex Poit.,bristlecone fir
10,ABCO,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
11,ABFR,Abies fraseri (Pursh) Poir.,Fraser fir
12,ABGR,Abies grandis (Douglas ex D. Don) Lindl.,grand fir
13,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,N/A
14,ABLA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
15,ABLAA,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir
16,ABLAL,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir
17,ABMA,Abies magnifica A. Murray,California red fir
18,ABPR,Abies procera Rehder,noble fir
19,ABAB70,Abietinella abietina (Hedw.) Fleisch.,abietinella moss
20,ABRON,Abronia,sand verbena
21,ABAM2,Abronia ameliae Lundell,Amelia's sand verbena
22,ABAN,Abronia angustifolia Greene,purple sand verbena
23,ABBI,Abronia bigelovii Heimerl,Galisteo sand verbena
24,ABFR2,Abronia fragrans Nutt. ex Hook.,snowball sand verbena
25,ABLA2,Abronia latifolia Eschsch.,coastal sand verbena
26,ABMA2,Abronia maritima Nutt. ex S. Watson,red sand verbena
27,ABME,Abronia mellifera Douglas ex Hook.,white sand verbena
28,ABNA,Abronia nana S. Watson,dwarf sand verbena
29,ABPO,Abronia pogonantha Heimerl,Mojave sand verbena
30,ABTU,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena
31,ABUM,Abronia umbellata Lam.,pink sand verbena
32,ABUMU,Abronia umbellata Lam. ssp. umbellata,pink sand verbena
33,ABVI,Abronia villosa S. Watson,desert sand verbena
34,ABVIA,Abronia villosa S. Watson var. aurita (Abrams) Jeps.,desert sand verbena
35,ABVIV,Abronia villosa S. Watson var. villosa,desert sand verbena
36,ABPR3,Abrus precatorius L.,rosarypea
37,ABUTI,Abutilon,Indian mallow
38,ABAB,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow
39,ABHI,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow
40,ABIN,Abutilon incanum (Link) Sweet,pelotazo
41,ABMA8,Abutilon mauritianum (Jacq.) Medik., 
42,ABME3,Abutilon megapotamicum (A. Spreng.) A. St.-Hil. & Naudin,trailing abutilon
43,ABMO2,Abutilon mollicomum (Willd.) Sweet,Sonoran Indian mallow
44,ABTH,Abutilon theophrasti Medik.,velvetleaf
45,ABAB3,Abutilon abutilon (L.) Rusby,N/A
46,ACACI,Acacia,acacia
47,ACAN10,Acacia aneura F. Muell. ex Benth.,mulga
48,ACAN11,Acacia angustissima (Mill.) Kuntze,prairie acacia
49,ACBA,Acacia baileyana F. Muell.,cootamundra wattle
50,SEBE2,Acacia berlandieri Benth.,guajillo
51,ACBO4,Acacia boomanii Maiden,Snowy River wattle
52,ACCA27,Acacia cardiophylla A. Cunn. ex Benth.,wyalong wattle
53,SECA28,Acacia catechu (L. f.) Willd. [excluded],black cutch
54,VACO8,Acacia collinsii Saff.,bull horn acacia
55,ACCO,Acacia confusa Merr.,small Philippine acacia
56,VACO9,Acacia constricta Benth.,whitethorn acacia
57,VACO10,Acacia cornigera (L.) Willd.,bullhorn wattle
58,ACCY2,Acacia cyclops A. Cunn. ex G. Don,coastal wattle
59,ACDE3,Acacia dealbata Link,silver wattle
60,ACDE,Acacia decurrens (Wendl. f.) Willd.,green wattle
61,ACEL,Acacia elata A. Cunn. ex Benth.,cedar wattle
62,VAFA,Acacia farnesiana (L.) Willd.,sweet acacia
63,ACGL7,Acacia glauca (L.) Moench,acacia
64,SEGR4,Acacia greggii A. Gray,catclaw acacia
65,ACKO,Acacia koa A. Gray,koa
66,ACLI8,Acacia ligulata Benth.,acacia
67,ACLO,Acacia longifolia (Andrews) Willd.,Sydney golden wattle
68,ACLOS3,Acacia longifolia (Andrews) Willd. ssp. sophorae (Labill.) Court, 
69,VAMA4,Acacia macracantha Humb. & Bonpl. ex Willd.,porknut
70,ACME80,Acacia mearnsii De Wild.,black wattle
71,ACME,Acacia melanoxylon R. Br.,blackwood
72,SEMU4,Acacia muricata (L.) Willd.,spineless wattle
73,SENI4,Acacia nigrescens Oliv.,knobthorn
74,VANI4,Acacia nilotica (L.) Willd. ex Delile,gum arabic tree
75,ACPA8,Acacia paradoxa DC.,paradox acacia
76,ACPA81,Acacia parramattensis Tindale,South Wales wattle
77,VAFAP,Acacia pinetorum F.J. Herm.,pineland wattle
78,ACPO2,Acacia podalyriifolia A. Cunn. ex G. Don,pearl wattle
79,SEPO3,Acacia polyacantha Willd.,catechu tree
80,ACPR6,Acacia pravissima F. Muell.,wedge-leaf wattle
81,ACPY3,Acacia pycnantha Benth.,golden wattle
82,SEWE4,Acacia retusa (Jacq.) Howard,catch and keep
83,VARI,Acacia rigidula Benth.,blackbrush acacia
84,SERO,Acacia roemeriana Scheele,roundflower catclaw
85,ACSA,Acacia saligna (Labill.) Wendl. f.,orange wattle
86,VASC4,Acacia schaffneri (S. Watson) F.J. Herm.,Schaffner's wattle
87,SESE16,Acacia senegal (L.) Willd.,gum arabic
88,VASE,Acacia seyal Delile,talh
89,VASP2,Acacia sphaerocephala Schltdl. & Cham.,bee wattle
90,VATO,Acacia tortilis (Forssk.) Hayne,umbrella thorn
91,VATO2,Acacia tortuosa (L.) Willd.,poponax
92,ACUN2,Acacia uncinata Lindl., 
93,ACVE2,Acacia verticillata (L'Hér.) Willd.,prickly Moses
94,SEVO2,Acacia vogeliana Steud.,macata bourse bastard
95,VAXA,Acacia xanthophloea Benth.,fevertree
96,ACPI3,Acaena pinnatifida Ruiz & Pav.,Argentinian biddy-biddy
97,ACWI,Acalypha amentacea Roxb. ssp. wilkesiana (Müll. Arg.) Fosberg,Wilkes' acalypha
98,ACGR2,Acalypha gracilens A. Gray,slender threeseed mercury
99,ACHI2,Acalypha hispida Burm. f.,red-hot cat's tail
100,ACOS,Acalypha ostryifolia Riddell,pineland threeseed mercury
101,ACRH,Acalypha rhomboidea Raf.,common threeseed mercury
102,ACVI,Acalypha virginica L.,Virginia threeseed mercury
103,ACSH,Acamptopappus shockleyi A. Gray,Shockley's goldenhead
104,ACANT6,Acanthocereus,triangle cactus
105,ACDU2,Acanthomintha duttonii (Abrams) Jokerst,San Mateo thorn-mint
106,ACIL,Acanthomintha ilicifolia (A. Gray) A. Gray,San Diego thorn-mint
107,ACAU2,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur
108,ACHI,Acanthospermum hispidum DC.,hispid starbur
109,ACANT7,Acanthus,acanthus
110,ACMO8,Acanthus mollis L.,bear's breech
111,ACPOP,Acanthus polystachyus Delile var. pseudopubescens Cufod., 
112,ACSP7,Acanthus spinosus L.,spine acanthus
113,ACSC5,Acarospora schleicheri (Ach.) A. Massal.,Schleicher's cracked lichen
114,ACMU5,Acaulon muticum (Hedw.) Müll. Hal.,acaulon moss
115,ACTR4,Acaulon triquetrum (Spruce) Müll. Hal.,acaulon moss
116,ACER,Acer,maple
117,ACFL,Acer barbatum Michx.,southern sugar maple
118,ACCA5,Acer campestre L.,hedge maple
119,ACCI,Acer circinatum Pursh,vine maple
120,ACCI5,Acer cissifolium (Siebold & Zucc.) K. Koch,ivyleaf maple
121,ACGI,Acer ginnala Maxim.,Amur maple
122,ACGL,Acer glabrum Torr.,Rocky Mountain maple
123,ACGLD3,Acer glabrum Torr. var. diffusum (Greene) Smiley,Rocky Mountain maple
124,ACGLD4,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple
125,ACGLN2,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple
126,ACGLT2,Acer glabrum Torr. var. torreyi (Greene) Smiley,Torrey maple
127,ACGR3,Acer grandidentatum Nutt.,bigtooth maple
128,ACGR14,Acer griseum (Franch.) Pax,paperbark maple
129,ACJA2,Acer japonicum Thurb.,Amur maple
130,ACMA3,Acer macrophyllum Pursh,bigleaf maple
131,ACNE2,Acer negundo L.,boxelder
132,ACNEN,Acer negundo L. var. negundo,boxelder
133,NEAC,Acer negundo L. var. variegatum Jacques,N/A
134,ACNI5,Acer nigrum Michx. f.,black maple
135,ACPA2,Acer palmatum Thunb.,Japanese maple
136,ACPE,Acer pensylvanicum L.,striped maple
137,ACPL,Acer platanoides L.,Norway maple
138,ACPS,Acer pseudoplatanus L.,sycamore maple
139,ACRU,Acer rubrum L.,red maple
140,ACRUD,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple
141,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,N/A
142,ACRUR,Acer rubrum L. var. rubrum,red maple
143,ACRUT,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple
144,ACSA2,Acer saccharinum L.,silver maple
145,ACSA3,Acer saccharum Marsh.,sugar maple
146,ACSP2,Acer spicatum Lam.,mountain maple
147,ACTA80,Acer tataricum L.,tatarian maple
148,ACHIL,Achillea,yarrow
149,ACFI,Achillea filipendulina Lam.,fernleaf yarrow
150,ACMI2,Achillea millefolium L.,common yarrow
151,ACMIB,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow
152,ACMIO,Achillea millefolium L. var. occidentalis DC.,western yarrow
153,ACLA5,Achillea angustissima Rydb.,N/A
154,ACTO3,Achillea angustissima Rydb.,N/A
155,ACPT,Achillea ptarmica L.,sneezeweed
156,ACTR,Achlys triphylla (Sm.) DC.,sweet after death
157,ACAR14,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass
158,ACBL,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale], 
159,ACCU6,Achnatherum curvifolium (Swallen) Barkworth,Guadalupe ricegrass
160,ACDI10,Achnatherum diegoense (Swallen) Barkworth,San Diego needlegrass
161,ACEM4,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass
162,ACHE10,Achnatherum hendersonii (Vasey) Barkworth,Henderson's needlegrass
163,ACHY,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass
164,ERCU9,Eriocoma cuspidata Nutt.,N/A
165,ORHY,Eriocoma cuspidata Nutt.,N/A
166,ACLA8,Achnatherum latiglume (Swallen) Barkworth,Sierra needlegrass
167,ACLEL,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Lemmon's needlegrass
168,ACLE9,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass
169,ACLO7,Achnatherum lobatum (Swallen) Barkworth,littleawn needlegrass
170,ACNED,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass
171,ACNEN2,Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii,Columbia needlegrass
172,STWI,Stipa columbiana Macoun var. nelsonii (Scribn.) H. St. John,N/A
173,ACOCC,Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth,California needlegrass
174,ACOCO,Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale,western needlegrass
175,ACOCP,Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth,pubescent western needlegrass
176,ACPA13,Achnatherum parishii (Vasey) Barkworth,Parish's needlegrass
177,ACPI2,Achnatherum pinetorum (M.E. Jones) Barkworth,pine needlegrass
178,ACRI8,Achnatherum richardsonii (Link) Barkworth,Richardson's needlegrass
179,ACRO7,Achnatherum robustum (Vasey) Barkworth,sleepygrass
180,ACSC11,Achnatherum scribneri (Vasey) Barkworth,Scribner needlegrass
181,ACSP12,Achnatherum speciosum (Trin. & Rupr.) Barkworth,desert needlegrass
182,STSP3,Stipa speciosa Trin. & Rupr.,N/A
183,ACST7,Achnatherum stillmanii (Bol.) Barkworth,Stillman's needlegrass
184,ACTH7,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass
185,STTH2,Stipa thurberiana Piper,N/A
186,ACWE3,Achnatherum webberi (Thurb.) Barkworth,Webber needlegrass
187,ACIDA,Acidanthera,acidanthera
188,ACAR2,Acinos arvensis (Lam.) Dandy,basil thyme
189,ACFE2,Aciphylla ferox W.R.B. Oliv.,fierce Spaniard
190,ACLO2,Acleisanthes longiflora A. Gray,angel's trumpets
191,ACOP,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower
192,ACOPR,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower
193,SPAMR3,Acmella repens (Walter) Rich.,N/A
194,ACWR4,Acoelorrhaphe wrightii (Griseb. & H. Wendl.) H. Wendl. ex Becc.,Everglades palm
195,ACONI,Aconitum,monkshood
196,ACCO4,Aconitum columbianum Nutt.,Columbian monkshood
197,ACCOC3,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood
198,ACDED3,Aconitum delphiniifolium DC. ssp. delphiniifolium,larkspurleaf monkshood
199,ACFI3,Aconitum fischeri Rchb.,Fischer monkshood
200,ACNA,Aconitum napellus L.,Venus' chariot
201,ACNO2,Aconitum noveboracense A. Gray ex Coville,northern blue monkshood
202,ACRE,Aconitum reclinatum A. Gray,trailing white monkshood
203,ACUN,Aconitum uncinatum L.,southern blue monkshood
204,ACAM,Acorus americanus (Raf.) Raf.,sweetflag
205,ACCA10,Acorus calamus auct. non L.,N/A
206,ACCA4,Acorus calamus L.,calamus
207,ACGR15,Acorus gramineus Sol. ex Aiton,grassleaf sweet flag
208,ACNA2,Acourtia nana (A. Gray) Reveal & King,dwarf desertpeony
209,PENA5,Perezia nana A. Gray,N/A
210,ACRU3,Acourtia runcinata (Lag. ex D. Don) B.L. Turner,featherleaf desertpeony
211,ACWR5,Acourtia wrightii (A. Gray) Reveal & King,brownfoot
212,ACRA6,Acrachne racemosa (Roem. & Schult.) Ohwi,goosegrass
213,ACMA5,Acroceras macrum Stapf,Nile grass
214,ACRE3,Acroptilon repens (L.) DC.,hardheads
215,ACAU3,Acrostichum aureum L.,golden leatherfern
216,ACAR18,Actaea arizonica (S. Watson) J. Compton,Arizona bugbane
217,ACPA,Actaea pachypoda Elliot,white baneberry
218,ACAL7,Actaea alba auct. non (L.) Mill.,N/A
219,ACPO11,Actaea podocarpa DC.,mountain bugbane
220,ACRAR,Actaea racemosa L. var. racemosa,black bugbane
221,ACRU14,Actaea rubifolia (Kearney) Kartesz,Appalachian bugbane
222,ACRU2,Actaea rubra (Aiton) Willd.,red baneberry
223,ACRUA8,Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén,red baneberry
224,ACAR7,Actaea arguta Nutt.,N/A
225,ACRUR2,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry
226,ACCH5,Actinidia chinensis Planch.,kiwi
227,ADDI3,Adansonia digitata L.,baobab
228,ADRI,Adelia ricinella L.,wild lime
229,ADPA,Adenanthera pavonina L.,red beadtree
230,ADENI,Adenium,desert rose
231,ADOB2,Adenium obesum (Forssk.) Roem. & Schult.,desert-rose
232,ADBI,Adenocaulon bicolor Hook.,American trailplant
233,ADPO,Adenophyllum porophylloides (A. Gray) Strother,San Felipe dogweed
234,ADFA,Adenostoma fasciculatum Hook. & Arn.,chamise
235,ADFAF,Adenostoma fasciculatum Hook. & Arn. var. fasciculatum,chamise
236,ADSP,Adenostoma sparsifolium Torr.,redshank
237,ADIAN,Adiantum,maidenhair fern
238,ADAL,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair
239,ADCA,Adiantum capillus-veneris L.,common maidenhair
240,ADHI,Adiantum hispidulum Sw.,rough maidenhair
241,ADJO,Adiantum jordanii C.H. Mull.,California maidenhair
242,ADPE,Adiantum pedatum L.,northern maidenhair
243,ADPU,Adiantum pulverulentum L.,glossy maidenhair
244,ADFU,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
245,ADAN,Adonis annua L.,blooddrops
246,ADVE,Adonis vernalis L.,spring pheasant's eye
247,ADMO,Adoxa moschatellina L.,muskroot
248,AECHM,Aechmea,livingvase
249,AEFA3,Aechmea fasciata (Lindl.) Baker,urnplant
250,AELI,Aechmea lingulata (L.) Baker,West Indian livingvase
251,AEGIL,Aegilops,goatgrass
252,AEBI,Aegilops bicornis (Forssk.) Jaub. & Spach,goatgrass
253,AECO,Aegilops comosa Sm.,goatgrass
254,AECR,Aegilops crassa Boiss.,Persian goatgrass
255,AECY,Aegilops cylindrica Host,jointed goatgrass
256,AEGE,Aegilops geniculata Roth,ovate goatgrass
257,AELO,Aegilops longissima Schweinf. & Muschl.,goatgrass
258,AELO2,Aegilops lorentii Hochst.,Lorent's goatgrass
259,AESP2,Aegilops speltoides Tausch,goatgrass
260,AETR,Aegilops triuncialis L.,barbed goatgrass
261,AEVE,Aegilops ventricosa Tausch,goatgrass
262,AEPO,Aegopodium podagraria L.,bishop's goutweed
263,AECE,Aegopogon cenchroides Humb. & Bonpl.,relaxgrass
264,AETE,Aegopogon tenellus (DC.) Trin.,fragilegrass
265,AEONI,Aeonium,aeonium
266,AEAR4,Aeonium arboreum (L.) Webb & Berthel.,tree aenium
267,AEHA2,Aeonium haworthii Webb & Bethel.,Haworth's aeonium
268,AEUN,Aeonium undulatum Webb & Bethel.,saucer-plant
269,AEAM,Aeschynomene americana L.,shyleaf
270,AEEL2,Aeschynomene elaphroxylon (Guill. & Perr.) Taubert,ambatch
271,AEIN,Aeschynomene indica L.,Indian jointvetch
272,AERU,Aeschynomene rudis Benth.,zigzag jointvetch
273,AESE2,Aeschynomene sensitiva Sw.,sensitive jointvetch
274,AEVI3,"Aeschynomene virginica (L.) Britton, Sterns & Poggenb.",Virginia jointvetch
275,AEVI,Aeschynomene viscidula Michx.,sticky jointvetch
276,AESCU,Aesculus,buckeye
277,AECA,Aesculus californica (Spach) Nutt.,California buckeye
278,AEFL,Aesculus flava Aiton,yellow buckeye
279,AEOC2,Aesculus octandra Marshall var. virginica Sarg.,N/A
280,AEGL,Aesculus glabra Willd.,Ohio buckeye
281,AEGLA,Aesculus glabra Willd. var. arguta (Buckley) B.L. Rob.,Ohio buckeye
282,AEHI,Aesculus hippocastanum L.,horse chestnut
283,AEPA2,Aesculus parviflora Walter,bottlebrush buckeye
284,AEPA,Aesculus pavia L.,red buckeye
285,AECY2,Aethusa cynapium L.,fool's parsley
286,AFFA,Afrocarpus falcatus (Thunb.) C.N. Page,yellowwood
287,AFAF,Afzelia africana Sm. ex Pers.,African mahogany
288,AFBE,Afzelia bella Harms,pretty afzelia
289,AFQU,Afzelia quanzensis Welw.,pod mahogany
290,AGAP3,Agalinis aphylla (Nutt.) Raf.,scaleleaf false foxglove
291,AGAS2,Agalinis aspera (Douglas ex Benth.) Britton,tall false foxglove
292,AGAU3,Agalinis auriculata (Michx.) S.F. Blake,earleaf false foxglove
293,AGDE6,Agalinis densiflora (Benth.) S.F. Blake,Osage false foxglove
294,AGFA2,Agalinis fasciculata (Elliot) Raf.,beach false foxglove
295,AGGA,Agalinis gattingeri (Small) Small,roundstem false foxglove
296,AGHE4,Agalinis heterophylla (Nutt.) Small ex Britton,prairie false foxglove
297,AGLI2,Agalinis linifolia (Nutt.) Britton,flaxleaf false foxglove
298,AGMA3,Agalinis maritima (Raf.) Raf.,saltmarsh false foxglove
299,AGMAM,Agalinis maritima (Raf.) Raf. var. maritima,saltmarsh false foxglove
300,AGOB,Agalinis obtusifolia Raf.,tenlobe false foxglove
301,AGPA12,Agalinis paupercula (A. Gray) Britton,smallflower false foxglove
302,AGPU5,Agalinis purpurea (L.) Pennell,purple false foxglove
303,GEPU7,Agalinis purpurea (L.) Pennell var. carteri Pennell,N/A
304,AGSE3,Agalinis setacea (J.F. Gmel.) Raf.,threadleaf false foxglove
305,GESE5,Agalinis holmiana Pennell,N/A
306,AGSK,Agalinis skinneriana (Alph. Wood) Britton,Skinner's false foxglove
307,AGTE3,Agalinis tenuifolia (Vahl) Raf.,slenderleaf false foxglove
308,AGTEM,Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake,slenderleaf false foxglove
309,AGTET,Agalinis tenuifolia (Vahl) Raf. var. tenuifolia,slenderleaf false foxglove
310,AGAPA2,Agapanthus,agapanthus
311,AGAF,Agapanthus africanus (L.) Hoffsgg.,lily of the Nile
312,AGPRO,Agapanthus praecox Willd. ssp. orientalis (F.M. Leight.) F.M. Leight., 
313,AGOR4,Agapanthus orientalis F.M. Leighton,N/A
314,AGPO2,Agarista populifolia (Lam.) W.S. Judd,Florida hobblebush
315,AGFO,Agastache foeniculum (Pursh) Kuntze,blue giant hyssop
316,AGNE2,Agastache nepetoides (L.) Kuntze,yellow giant hyssop
317,AGOC,Agastache occidentalis (Piper) A. Heller,western giant hyssop
318,AGPA,Agastache pallidiflora (A. Heller) Rydb.,Bill Williams Mountain giant hyssop
319,AGPAN,Agastache pallidiflora (A. Heller) Rydb. ssp. neomexicana (Briq.) Lint & Epling,Bill Williams Mountain giant hyssop
320,AGPA2,Agastache parvifolia Eastw.,smallleaf giant hyssop
321,AGSC,Agastache scrophulariifolia (Willd.) Kuntze,purple giant hyssop
322,AGSCM,Agastache scrophulariifolia (Willd.) Kuntze var. mollis (Fernald) A. Heller,N/A
323,AGUR,Agastache urticifolia (Benth.) Kuntze,nettleleaf giant hyssop
324,AGURU,Agastache urticifolia (Benth.) Kuntze var. urticifolia,nettleleaf giant hyssop
325,AGWR,Agastache wrightii (Greenm.) Woot. & Standl.,Sonoran giant hyssop
326,AGAU4,Agathis australis (D. Don) Steud.,kauri
327,AGAVE,Agave,agave
328,AGAN4,Agave angustifolia Haw.,century plant
329,AGAR8,Agave ×arizonica Gentry & J.Z. Weber (pro sp.) [chrysantha × toumeyana],Arizona century plant
330,AGCU3,Agave cupreata Trel. & A. Berger, 
331,AGDE,Agave deserti Engelm.,desert agave
332,AGDED,Agave deserti Engelm. ssp. deserti,desert agave
333,AGGR4,Agave gracilipes Trel.,slimfoot century plant
334,AGLE,Agave lechuguilla Torr.,lechuguilla
335,AGPA3,Agave palmeri Engelm.,Palmer's century plant
336,AGPA4,Agave parryi Engelm.,Parry's agave
337,AGPA5,Agave parviflora Torr.,smallflower century plant
338,AGSH,Agave shawii Engelm.,coastal agave
339,AGSI2,Agave sisalana Perrine,sisal hemp
340,AGUT,Agave utahensis Engelm.,Utah agave
341,AGUTK,Agave utahensis Engelm. var. kaibabensis (McKelvey) Breitung,Kaibab agave
342,AGUTN,Agave utahensis Engelm. var. nevadensis Engelm. ex Greenm. & Roush,Nevada agave
343,AGALA,Ageratina altissima (L.) King & H. Rob. var. altissima,white snakeroot
344,EURU6,"Ageratum altissimum L., non Eupatorium altissimum L.",N/A
345,AGALR,Ageratina altissima (L.) King & H. Rob. var. roanensis (Small) Clewell & Woot.,white snakeroot
346,AGARA,Ageratina aromatica (L.) Spach var. aromatica,lesser snakeroot
347,EUAR7,Eupatorium aromaticum L.,N/A
348,AGHE5,Ageratina herbacea (A. Gray) King & H. Rob.,fragrant snakeroot
349,AGLU,Ageratina luciae-brauniae (Fernald) King & H. Rob.,Lucy Braun's snakeroot
350,AGOC2,Ageratina occidentalis (Hook.) King & H. Rob.,western snakeroot
351,EUOC5,Eupatorium occidentale Hook.,N/A
352,AGCO2,Ageratum corymbosum Zuccagni ex Pers.,flat-top whiteweed
353,AGCO4,Aglaonema commutatum Schott,Philippine evergreen
354,AGBO4,Agnorhiza bolanderi (A. Gray) W.A. Weber,Bolander's mule-ears
355,AGRE8,Agnorhiza reticulata (Greene) W.A. Weber,El Dorado mule-ears
356,AGOSE,Agoseris,agoseris
357,AGAP2,Agoseris apargioides (Less.) Greene,woolly goat chicory
358,AGAPE,Agoseris apargioides (Less.) Greene var. eastwoodiae (Fedde) Munz,woolly goat chicory
359,AGAU2,Agoseris aurantiaca (Hook.) Greene,orange agoseris
360,AGAUA,Agoseris aurantiaca (Hook.) Greene var. aurantiaca,orange agoseris
361,AGEL,Agoseris elata (Nutt.) Greene,tall agoseris
362,AGGL,Agoseris glauca (Pursh) Raf.,pale agoseris
363,AGGLD,Agoseris glauca (Pursh) Raf. var. dasycephala (Torr. & A. Gray) Jeps.,pale agoseris
364,AGGLG,Agoseris glauca (Pursh) Raf. var. glauca,pale agoseris
365,AGGLL,Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley,false agoseris
366,AGAR5,Agoseris arizonica Greene,N/A
367,AGPA14,Agoseris arizonica Greene,N/A
368,AGGR,Agoseris grandiflora (Nutt.) Greene,bigflower agoseris
369,AGHEH,Agoseris heterophylla (Nutt.) Greene var. heterophylla,annual agoseris
370,AGRE,Agoseris retrorsa (Benth.) Greene,spearleaf agoseris
371,AGHI60,Agrestia hispida (Mereschk.) Hale & W.L. Culb.,hispid agrestia lichen
372,AGRIM,Agrimonia,agrimony
373,AGEU,Agrimonia eupatoria L.,churchsteeples
374,AGGR2,Agrimonia gryposepala Wallr.,tall hairy agrimony
375,AGMI2,Agrimonia microcarpa Wallr.,smallfruit agrimony
376,AGPA6,Agrimonia parviflora Aiton,harvestlice
377,AGPU,Agrimonia pubescens Wallr.,soft agrimony
378,AGRO3,Agrimonia rostellata Wallr.,beaked agrimony
379,AGST,Agrimonia striata Michx.,roadside agrimony
380,AGROP2,Agropyron,wheatgrass
381,AGCR,Agropyron cristatum (L.) Gaertn.,crested wheatgrass
382,AGCRP8,Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev,crested wheatgrass
383,AGDE2,Agropyron desertorum (Fisch. ex Link) Schult.,desert wheatgrass
384,AGFR,Agropyron fragile (Roth) P. Candargy,Siberian wheatgrass
385,AGSI,Agropyron cristatum (L.) Gaertn. ssp. fragile (Roth) A. Löve,N/A
386,AGGI,Agrostemma githago L.,common corncockle
387,AGROS2,Agrostis,bentgrass
388,AGAE,Agrostis aequivalvis (Trin.) Trin.,arctic bentgrass
389,AGAV,Agrostis avenacea J.F. Gmel.,Pacific bentgrass
390,AGBL,Agrostis blasdalei Hitchc.,Blasdale bentgrass
391,AGBR3,Agrostis blasdalei Hitchc. var. marinensis Crampton,N/A
392,AGCA4,Agrostis canina L.,velvet bentgrass
393,AGCA5,Agrostis capillaris L.,colonial bentgrass
394,AGTEA,Agrostis sylvatica Huds.,N/A
395,AGCA11,Agrostis castellana Boiss. & Reuter,bentgrass
396,AGCL,Agrostis clavata Trin.,clavate bentgrass
397,AGDE7,Agrostis densiflora Vasey,California bentgrass
398,AGEL4,Agrostis elliottiana Schult.,Elliott's bentgrass
399,AGEX2,Agrostis exigua Thurb.,N/A
400,AGEX,Agrostis exarata Trin.,spike bentgrass
401,AGAM2,Agrostis aenea Trin.,N/A
402,AGAS4,Agrostis aenea Trin.,N/A
403,AGLO2,Agrostis aenea Trin.,N/A
404,AGGI2,Agrostis gigantea Roth,redtop
405,AGAL3,Agrostis alba auct. non L.,N/A
406,AGNI,Agrostis alba auct. non L.,N/A
407,AGHA2,Agrostis hallii Vasey,Hall's bentgrass
408,AGHE3,Agrostis hendersonii Hitchc.,Henderson's bentgrass
409,AGAR2,Agrostis aristiglumis Swallen,N/A
410,AGHO,Agrostis hooveri Swallen,Hoover's bentgrass
411,AGHO2,Agrostis howellii Scribn.,Howell's bentgrass
