,Symbol,Scientific Name,Common Name
12124,PRPE,Proserpinaca pectinata Lam.,combleaf mermaidweed
12125,PROSO,Prosopis,mesquite
12126,PRAF2,"Prosopis africana (Guill., Perr. & A. Rich.) Taubert",African mesquite
12127,PRAL8,Prosopis alba Griseb.,algarrobo blanco
12128,PRCA11,Prosopis campestris Griseb., 
12129,PRCH2,Prosopis chilensis (Molina) Stuntz,algarrobo
12130,PRDE4,Prosopis denudans Benth., 
12131,PRGL2,Prosopis glandulosa Torr.,honey mesquite
12132,PRGLG,Prosopis glandulosa Torr. var. glandulosa,honey mesquite
12133,PRGLT,Prosopis glandulosa Torr. var. torreyana (L.D. Benson) M.C. Johnst.,western honey mesquite
12134,PRJUT,Prosopis juliflora (Sw.) DC. var. torreyana L.D. Benson,N/A
12135,PRJU3,Prosopis juliflora (Sw.) DC.,mesquite
12136,PRKU2,Prosopis kuntzei Harms ex Hassler, 
12137,PRNI3,Prosopis nigra Griseb. ex Hieron.,algarrobo negro
12138,PRPA10,Prosopis palmeri S. Watson, 
12139,PRPU,Prosopis pubescens Benth.,screwbean mesquite
12140,PRREC,Prosopis reptans Benth. var. cinerascens (A. Gray) Burkart,tornillo
12141,PRSE5,Prosopis sericantha Gillies ex Hook. & Arn., 
12142,PRCOC,Prosthechea cochleata (L.) W.E. Higgins var. cochleata,clamshell orchid
12143,PROTE,Protea,protea
12144,PRCY2,Protea cynaroides (L.) L.,king protea
12145,PRVU,Prunella vulgaris L.,common selfheal
12146,PRVUL2,Prunella vulgaris L. ssp. lanceolata (W. Bartram) Hultén,lance selfheal
12147,PRUNU,Prunus,plum
12148,PRAL5,Prunus alleghaniensis Porter,Allegheny plum
12149,PRALD,Prunus alleghaniensis Porter var. davisii (W. Wight) Sarg.,Davis' plum
12150,PRAM,Prunus americana Marsh.,American plum
12151,PRAN2,Prunus andersonii A. Gray,desert peach
12152,PRAN3,Prunus angustifolia Marsh.,Chickasaw plum
12153,PRAR3,Prunus armeniaca L.,apricot
12154,PRAV,Prunus avium (L.) L.,sweet cherry
12155,PRCA,Prunus caroliniana Aiton,Carolina laurelcherry
12156,PRCE2,Prunus cerasifera Ehrh.,cherry plum
